Experimental,Predicted,TrainTest
2.66,24.837152990606228,Train
5.12,24.837152990606228,Train
15.4,24.837152990606228,Train
23.84,24.837152990606228,Train
32.18,24.837152990606228,Train
104.22,24.837152990606228,Train
105.6,24.837152990606228,Train
50.5,63.11728411267107,Train
72.33,71.3327508014428,Train
72.67,63.11728411267107,Train
17.92270531,60.88666523401322,Train
40.9178744,60.88666523401322,Train
58.16425121,60.88666523401322,Train
61.88405797,60.88666523401322,Train
64.92753623,60.88666523401322,Train
66.61835749,60.88666523401322,Train
4.979253112,19.334958860838427,Train
9.751037344,19.334958860838427,Train
20.22821577,19.334958860838427,Train
20.33195021,19.334958860838427,Train
20.64315353,19.334958860838427,Train
24.8,25.79744954906205,Train
34.25531915,118.1515007308208,Train
75.95744681,118.1515007308208,Train
104.2553191,118.1515007308208,Train
119.1489362,118.1515007308208,Train
141.4893617,118.1515007308208,Train
144.4680851,118.1515007308208,Train
142.9787234,118.1515007308208,Train
108.7234043,279.0027813980955,Train
202.5531915,279.0027813980955,Train
241.2765957,279.0027813980955,Train
280.0,279.0027813980955,Train
309.787234,279.0027813980955,Train
312.7659574,279.0027813980955,Train
315.7446809,279.0027813980955,Train
19.25826741,25.344119503922293,Train
24.34715199,25.344119503922293,Train
25.38099685,25.344119503922293,Train
26.34084462,25.344119503922293,Train
23.81225885,97.10389523733329,Train
46.55895981,97.10389523733329,Train
80.6229849,97.10389523733329,Train
98.1010941,97.10389523733329,Train
104.2174809,97.10389523733329,Train
105.7333639,97.10389523733329,Train
25.36458333,26.36179504245579,Train
5.173210162,70.3283416561289,Train
24.57274827,70.3283416561289,Train
44.29561201,70.3283416561289,Train
64.98845266,70.3283416561289,Train
86.97459584,70.3283416561289,Train
103.7875289,70.3283416561289,Train
120.9237875,70.3283416561289,Train
123.8337182,70.3283416561289,Train
30.26932084,73.70966033279008,Train
50.11709602,73.70966033279008,Train
52.22482436,73.70966033279008,Train
65.57377049,73.70966033279008,Train
74.70725995,73.70966033279008,Train
93.50117096,73.70966033279008,Train
96.83840749,73.70966033279008,Train
98.59484778,73.70966033279008,Train
99.64871194,73.70966033279008,Train
0.505106572,25.544241139740045,Train
4.83245662,25.544241139740045,Train
6.996345129,25.544241139740045,Train
10.36258369,25.544241139740045,Train
14.93031835,25.544241139740045,Train
19.73843763,25.544241139740045,Train
24.54741085,25.544241139740045,Train
29.59634171,25.544241139740045,Train
39.69463041,25.544241139740045,Train
59.17261579,25.544241139740045,Train
73.3685442,25.544241139740045,Train
87.80272237,25.544241139740045,Train
96.49414196,25.544241139740045,Train
0.745064216,28.600151335677026,Train
2.668995081,28.600151335677026,Train
6.515575898,28.600151335677026,Train
9.882241426,28.600151335677026,Train
14.93202623,28.600151335677026,Train
24.54783782,28.600151335677026,Train
29.59719566,28.600151335677026,Train
39.45638065,28.600151335677026,Train
49.55637724,28.600151335677026,Train
58.9377818,28.600151335677026,Train
72.90271895,28.600151335677026,Train
84.97959079,28.600151335677026,Train
0.504679601,31.07569981847344,Train
2.187371909,31.07569981847344,Train
7.476687389,31.07569981847344,Train
9.880533543,31.07569981847344,Train
15.16984902,31.07569981847344,Train
25.26856469,31.07569981847344,Train
30.07839186,31.07569981847344,Train
39.45638065,31.07569981847344,Train
49.31898142,31.07569981847344,Train
58.46427108,31.07569981847344,Train
71.96338298,31.07569981847344,Train
81.20901079,31.07569981847344,Train
88.47050485,31.07569981847344,Train
20.8,21.79705056461391,Train
24.53333333,26.735953872668084,Train
26.66666667,26.735953872668084,Train
27.2,26.735953872668084,Train
27.73333333,26.735953872668084,Train
20.8,57.136226180691736,Train
48.53333333,57.136226180691736,Train
58.13333333,57.136226180691736,Train
64.0,57.136226180691736,Train
24.09836066,66.89883355396712,Train
46.2295082,66.89883355396712,Train
65.90163934,66.89883355396712,Train
88.03278689,66.89883355396712,Train
100.0819672,66.89883355396712,Train
2.013422819,56.18369388922893,Train
5.637583893,56.18369388922893,Train
10.87248322,56.18369388922893,Train
22.86885246,56.18369388922893,Train
22.95302013,56.18369388922893,Train
31.81208054,56.18369388922893,Train
52.34899329,56.18369388922893,Train
57.18120805,56.18369388922893,Train
57.54098361,56.18369388922893,Train
111.3934426,56.18369388922893,Train
149.0163934,56.18369388922893,Train
163.0327869,56.18369388922893,Train
162.295082,56.18369388922893,Train
163.0327869,56.18369388922893,Train
25.0,121.50307203138175,Train
46.25,121.50307203138175,Train
93.75,121.50307203138175,Train
125.0,121.50307203138175,Train
128.75,121.50307203138175,Train
125.0,121.50307203138175,Train
122.5,121.50307203138175,Train
23.75,85.99736756945265,Train
47.5,85.99736756945265,Train
85.0,85.99736756945265,Train
100.0,85.99736756945265,Train
120.0,85.99736756945265,Train
107.5,85.99736756945265,Train
122.5,85.99736756945265,Train
5.105633803,52.24699603585527,Train
31.31455399,52.24699603585527,Train
37.44131455,52.24699603585527,Train
53.2444668,52.24699603585527,Train
58.07658451,52.24699603585527,Train
67.10261569,52.24699603585527,Train
82.82472613,52.24699603585527,Train
84.24295775,28.461997757590737,Train
2.535211268,28.461997757590737,Train
8.450704225,28.461997757590737,Train
27.46478873,28.461997757590737,Train
47.11267606,28.461997757590737,Train
34.95050106,75.27622414260357,Train
52.42805218,75.27622414260357,Train
56.80146598,75.27622414260357,Train
74.27901711,75.27622414260357,Train
332.1102806,75.27622414260357,Train
383.1165707,75.27622414260357,Train
428.327685,75.27622414260357,Train
501.5668372,75.27622414260357,Train
18.77274936,146.3720200884256,Train
40.75098932,146.3720200884256,Train
79.21290924,146.3720200884256,Train
