Experimental,Predicted,TrainTest
34.88986784,26.130098,Train
20.46086073,51.561752,Train
38.33554111,51.561752,Train
45.4140353,51.561752,Train
54.02144111,51.561752,Train
60.77539201,51.561752,Train
70.86858076,51.561752,Train
71.05942516,51.561752,Train
17.37716028,36.902637,Train
28.15825144,36.902637,Train
32.45818059,36.902637,Train
41.07097748,36.902637,Train
45.35688981,36.902637,Train
46.83081236,36.902637,Train
47.06370722,36.902637,Train
14.59428237,31.586456,Train
25.98672253,31.586456,Train
36.75379686,31.586456,Train
40.3464157,31.586456,Train
40.25153261,31.586456,Train
24.01204975,65.48267,Train
43.74093029,65.48267,Train
56.67433273,65.48267,Train
73.31271055,65.48267,Train
80.68638248,65.48267,Train
114.4665069,65.48267,Train
23.39530967,70.92466,Train
41.8884426,70.92466,Train
58.52682042,70.92466,Train
62.81225706,70.92466,Train
76.97913967,70.92466,Train
107.0542887,70.92466,Train
125.8172454,70.92466,Train
20.92381446,68.09878,Train
36.3287121,68.09878,Train
52.35034983,68.09878,Train
69.5941306,68.09878,Train
74.50991189,68.09878,Train
101.4945582,68.09878,Train
121.4932625,68.09878,Train
2.50430312,13.5590725,Train
4.950542306,13.5590725,Train
6.880519832,13.5590725,Train
12.79909503,13.5590725,Train
16.91712454,13.5590725,Train
21.86112761,13.5590725,Train
28.99972189,13.5590725,Train
0.23255814,43.255913,Train
26.74418605,43.255913,Train
41.39534884,43.255913,Train
46.04651163,43.255913,Train
60.23255814,43.255913,Train
84.88372093,43.255913,Train
4.5,92.39915,Train
25.2,92.39915,Train
50.4,92.39915,Train
75.6,92.39915,Train
98.1,92.39915,Train
122.4,92.39915,Train
136.8,92.39915,Train
154.8,92.39915,Train
163.8,92.39915,Train
4.5,90.70034,Train
25.2,90.70034,Train
50.4,90.70034,Train
75.6,90.70034,Train
98.1,90.70034,Train
122.4,90.70034,Train
134.1,90.70034,Train
144.9,90.70034,Train
161.1,90.70034,Train
4.5,83.25028,Train
25.2,83.25028,Train
50.4,83.25028,Train
74.7,83.25028,Train
98.1,83.25028,Train
121.5,83.25028,Train
134.1,83.25028,Train
157.5,83.25028,Train
33.80159971,102.621544,Train
78.83078362,102.621544,Train
131.8902926,102.621544,Train
165.9662362,102.621544,Train
98.94731815,172.57343,Train
178.6750356,172.57343,Train
201.7932141,172.57343,Train
210.8777795,172.57343,Train
43.72469636,170.40549,Train
68.01619433,170.40549,Train
97.1659919,170.40549,Train
119.0283401,170.40549,Train
161.5384615,170.40549,Train
210.1214575,170.40549,Train
223.4817814,170.40549,Train
248.9878543,170.40549,Train
264.7773279,170.40549,Train
267.2064777,170.40549,Train
100.0851064,119.51669,Train
121.5319149,119.51669,Train
126.0,119.51669,Train
130.4680851,119.51669,Train
3.092369478,21.576244,Train
9.136546185,21.576244,Train
15.46184739,21.576244,Train
20.52208835,21.576244,Train
28.95582329,21.576244,Train
31.76706827,21.576244,Train
31.62650602,21.576244,Train
32.04819277,21.576244,Train
9.216216216,17.63347,Train
11.27027027,17.63347,Train
13.43243243,17.63347,Train
17.64864865,17.63347,Train
22.08108108,17.63347,Train
24.24324324,17.63347,Train
25.54054054,17.63347,Train
15.94887836,62.160763,Train
71.89484699,62.160763,Train
69.63018505,62.160763,Train
69.34592722,62.160763,Train
69.74657408,62.160763,Train
76.39552126,62.160763,Train
16.37385421,34.03246,Train
18.09662811,34.03246,Train
27.94475276,34.03246,Train
41.96448058,34.03246,Train
43.66036353,34.03246,Train
44.74067781,34.03246,Train
45.44802644,34.03246,Train
10.44776119,51.13324,Train
19.90049751,51.13324,Train
29.85074627,51.13324,Train
39.30348259,51.13324,Train
49.25373134,51.13324,Train
68.15920398,51.13324,Train
75.12437811,51.13324,Train
82.08955224,51.13324,Train
86.06965174,51.13324,Train
38.18676375,58.033054,Train
48.40164878,58.033054,Train
55.13234156,58.033054,Train
63.5490553,58.033054,Train
65.29721926,58.033054,Train
67.34521792,58.033054,Train
68.31900069,58.033054,Train
3.333333333,28.650873,Train
29.76190476,28.650873,Train
52.85714286,28.650873,Train
44.39790576,70.05348,Train
63.2460733,70.05348,Train
78.7434555,70.05348,Train
93.82198953,70.05348,Train
9.333333333,110.44402,Train
42.0,110.44402,Train
84.0,110.44402,Train
104.2222222,110.44402,Train
124.4444444,110.44402,Train
140.0,110.44402,Train
147.7777778,110.44402,Train
149.3333333,110.44402,Train
150.8888889,110.44402,Train
152.4444444,110.44402,Train
20.22222222,161.25922,Train
93.33333333,161.25922,Train
140.0,161.25922,Train
164.8888889,161.25922,Train
186.6666667,161.25922,Train
206.8888889,161.25922,Train
211.5555556,161.25922,Train
213.1111111,161.25922,Train
214.6666667,161.25922,Train
19.71830986,129.81187,Train
39.43661972,129.81187,Train
82.15962441,129.81187,Train
139.6713615,129.81187,Train
187.3239437,129.81187,Train
310.5633803,129.81187,Train
37.79342723,125.11707,Train
54.22535211,125.11707,Train
77.23004695,125.11707,Train
129.8122066,125.11707,Train
184.0375587,125.11707,Train
192.2535211,125.11707,Train
200.4694836,125.11707,Train
30.96330275,86.336845,Train
45.87155963,86.336845,Train
90.59633028,86.336845,Train
103.2110092,86.336845,Train
110.0917431,86.336845,Train
111.2385321,86.336845,Train
112.3853211,86.336845,Train
24.40677966,83.72961,Train
40.0,83.72961,Train
62.37288136,83.72961,Train
81.3559322,83.72961,Train
92.88135593,83.72961,Train
107.7966102,83.72961,Train
120.0,83.72961,Train
141.0169492,83.72961,Train
20.27952431,102.71002,Train
42.22628014,102.71002,Train
82.91482248,102.71002,Train
131.1795562,102.71002,Train
144.191246,102.71002,Train
145.4101056,102.71002,Train
152.7677763,102.71002,Train
10.8974359,42.39308,Train
24.57264957,42.39308,Train
41.23931624,42.39308,Train
66.88034188,42.39308,Train
68.37606838,42.39308,Train
53.23,52.764133,Train
47.34,51.372597,Train
52.62,51.372597,Train
48.79,52.764133,Train
56.28,52.764133,Train
54.15,51.372597,Train
53.12,55.82665,Train
52.56,55.82665,Train
55.5,55.82665,Train
55.92,55.82665,Train
56.06,55.82665,Train
56.06,55.82665,Train
50.04,50.058025,Train
62.6,55.82665,Train
54.8,55.82665,Train
49.89,52.395157,Train
55.35,57.17331,Train
54.61,52.395157,Train
55.0,57.17331,Train
49.43,52.395157,Train
55.67,52.395157,Train
61.16,57.17331,Train
57.04,57.041313,Train
49.26477143,71.41377,Train
78.11363005,71.41377,Train
86.86358416,71.41377,Train
49.06921241,68.030334,Train
86.9928401,68.030334,Train
24.32432432,135.20352,Train
46.77754678,135.20352,Train
64.86486486,135.20352,Train
85.44698545,135.20352,Train
125.3638254,135.20352,Train
160.9147609,135.20352,Train
198.960499,135.20352,Train
240.1247401,135.20352,Train
270.0623701,135.20352,Train
17.53246753,129.85774,Train
32.14285714,129.85774,Train
49.67532468,129.85774,Train
96.42857143,129.85774,Train
108.1168831,129.85774,Train
157.7922078,129.85774,Train
233.7662338,129.85774,Train
14.70588235,129.85774,Train
32.35294118,129.85774,Train
52.94117647,129.85774,Train
67.64705882,129.85774,Train
97.05882353,129.85774,Train
120.5882353,129.85774,Train
170.5882353,129.85774,Train
211.7647059,129.85774,Train
258.8235294,129.85774,Train
273.5294118,129.85774,Train
23.37662338,129.85774,Train
40.90909091,129.85774,Train
64.28571429,129.85774,Train
93.50649351,129.85774,Train
116.8831169,129.85774,Train
146.1038961,129.85774,Train
189.9350649,129.85774,Train
239.6103896,129.85774,Train
292.2077922,129.85774,Train
303.8961039,129.85774,Train
40.90909091,175.78404,Train
70.12987013,175.78404,Train
90.58441558,175.78404,Train
116.8831169,175.78404,Train
146.1038961,175.78404,Train
175.3246753,175.78404,Train
219.1558442,175.78404,Train
260.0649351,175.78404,Train
292.2077922,175.78404,Train
292.2077922,175.78404,Train
40.90909091,175.78404,Train
73.05194805,175.78404,Train
96.42857143,175.78404,Train
116.8831169,175.78404,Train
149.025974,175.78404,Train
184.0909091,175.78404,Train
236.6883117,175.78404,Train
274.6753247,175.78404,Train
306.8181818,175.78404,Train
315.5844156,175.78404,Train
44.11764706,175.78404,Train
79.41176471,175.78404,Train
102.9411765,175.78404,Train
138.2352941,175.78404,Train
164.7058824,175.78404,Train
194.1176471,175.78404,Train
247.0588235,175.78404,Train
291.1764706,175.78404,Train
338.2352941,175.78404,Train
8.20519991,21.20887,Train
25.7941412,21.20887,Train
25.23331405,21.20887,Train
25.60727543,21.20887,Train
0.507272748,14.054825,Train
1.154752282,14.054825,Train
4.967687316,14.054825,Train
10.00363925,14.054825,Train
17.70455442,14.054825,Train
23.89709741,14.054825,Train
22.76211199,14.054825,Train
22.77636251,14.054825,Train
