Experimental,Predicted,TrainTest
2.66,40.56077488143428,Train
5.12,40.56077488143428,Train
15.4,40.56077488143428,Train
23.84,40.56077488143428,Train
32.18,40.56077488143428,Train
104.22,40.56077488143428,Train
105.6,40.56077488143428,Train
50.5,61.90164796239186,Train
72.33,68.52752351841748,Train
72.67,61.90164796239186,Train
17.92270531,52.311716818234444,Train
40.9178744,52.311716818234444,Train
58.16425121,52.311716818234444,Train
61.88405797,52.311716818234444,Train
64.92753623,52.311716818234444,Train
66.61835749,52.311716818234444,Train
4.979253112,15.297932736756579,Train
9.751037344,15.297932736756579,Train
20.22821577,15.297932736756579,Train
20.33195021,15.297932736756579,Train
20.64315353,15.297932736756579,Train
24.8,45.551096761578826,Train
34.25531915,108.69473949287838,Train
75.95744681,108.69473949287838,Train
104.2553191,108.69473949287838,Train
119.1489362,108.69473949287838,Train
141.4893617,108.69473949287838,Train
144.4680851,108.69473949287838,Train
142.9787234,108.69473949287838,Train
108.7234043,254.5854879718881,Train
202.5531915,254.5854879718881,Train
241.2765957,254.5854879718881,Train
280.0,254.5854879718881,Train
309.787234,254.5854879718881,Train
312.7659574,254.5854879718881,Train
315.7446809,254.5854879718881,Train
19.25826741,24.37632091415387,Train
24.34715199,24.37632091415387,Train
25.38099685,24.37632091415387,Train
26.34084462,24.37632091415387,Train
23.81225885,76.82753352480091,Train
46.55895981,76.82753352480091,Train
80.6229849,76.82753352480091,Train
98.1010941,76.82753352480091,Train
104.2174809,76.82753352480091,Train
105.7333639,76.82753352480091,Train
25.36458333,61.047886443707945,Train
5.173210162,73.20302186472304,Train
24.57274827,73.20302186472304,Train
44.29561201,73.20302186472304,Train
64.98845266,73.20302186472304,Train
86.97459584,73.20302186472304,Train
103.7875289,73.20302186472304,Train
120.9237875,73.20302186472304,Train
123.8337182,73.20302186472304,Train
30.26932084,72.70429187036153,Train
50.11709602,72.70429187036153,Train
52.22482436,72.70429187036153,Train
65.57377049,72.70429187036153,Train
74.70725995,72.70429187036153,Train
93.50117096,72.70429187036153,Train
96.83840749,72.70429187036153,Train
98.59484778,72.70429187036153,Train
99.64871194,72.70429187036153,Train
0.505106572,36.24073406633646,Train
4.83245662,36.24073406633646,Train
6.996345129,36.24073406633646,Train
10.36258369,36.24073406633646,Train
14.93031835,36.24073406633646,Train
19.73843763,36.24073406633646,Train
24.54741085,36.24073406633646,Train
29.59634171,36.24073406633646,Train
39.69463041,36.24073406633646,Train
59.17261579,36.24073406633646,Train
73.3685442,36.24073406633646,Train
87.80272237,36.24073406633646,Train
96.49414196,36.24073406633646,Train
0.745064216,32.71461024234032,Train
2.668995081,32.71461024234032,Train
6.515575898,32.71461024234032,Train
9.882241426,32.71461024234032,Train
14.93202623,32.71461024234032,Train
24.54783782,32.71461024234032,Train
29.59719566,32.71461024234032,Train
39.45638065,32.71461024234032,Train
49.55637724,32.71461024234032,Train
58.9377818,32.71461024234032,Train
72.90271895,32.71461024234032,Train
84.97959079,32.71461024234032,Train
0.504679601,37.309908634214516,Train
2.187371909,37.309908634214516,Train
7.476687389,37.309908634214516,Train
9.880533543,37.309908634214516,Train
15.16984902,37.309908634214516,Train
25.26856469,37.309908634214516,Train
30.07839186,37.309908634214516,Train
39.45638065,37.309908634214516,Train
49.31898142,37.309908634214516,Train
58.46427108,37.309908634214516,Train
71.96338298,37.309908634214516,Train
81.20901079,37.309908634214516,Train
88.47050485,37.309908634214516,Train
20.8,24.400947056552216,Train
24.53333333,26.835500171398703,Train
26.66666667,26.835500171398703,Train
27.2,26.835500171398703,Train
27.73333333,26.835500171398703,Train
20.8,47.49850046287486,Train
48.53333333,47.49850046287486,Train
58.13333333,47.49850046287486,Train
64.0,47.49850046287486,Train
24.09836066,65.04251496235378,Train
46.2295082,65.04251496235378,Train
65.90163934,65.04251496235378,Train
88.03278689,65.04251496235378,Train
100.0819672,65.04251496235378,Train
2.013422819,69.42056333066327,Train
5.637583893,69.42056333066327,Train
10.87248322,69.42056333066327,Train
22.86885246,69.42056333066327,Train
22.95302013,69.42056333066327,Train
31.81208054,69.42056333066327,Train
52.34899329,69.42056333066327,Train
57.18120805,69.42056333066327,Train
57.54098361,69.42056333066327,Train
111.3934426,69.42056333066327,Train
149.0163934,69.42056333066327,Train
163.0327869,69.42056333066327,Train
162.295082,69.42056333066327,Train
163.0327869,69.42056333066327,Train
25.0,95.10993247072794,Train
46.25,95.10993247072794,Train
93.75,95.10993247072794,Train
125.0,95.10993247072794,Train
128.75,95.10993247072794,Train
125.0,95.10993247072794,Train
122.5,95.10993247072794,Train
23.75,85.1087592361943,Train
47.5,85.1087592361943,Train
85.0,85.1087592361943,Train
100.0,85.1087592361943,Train
120.0,85.1087592361943,Train
107.5,85.1087592361943,Train
122.5,85.1087592361943,Train
5.105633803,46.89898188746365,Train
31.31455399,46.89898188746365,Train
37.44131455,46.89898188746365,Train
53.2444668,46.89898188746365,Train
58.07658451,46.89898188746365,Train
67.10261569,46.89898188746365,Train
82.82472613,46.89898188746365,Train
84.24295775,35.97360367064689,Train
2.535211268,35.97360367064689,Train
8.450704225,35.97360367064689,Train
27.46478873,35.97360367064689,Train
47.11267606,35.97360367064689,Train
34.95050106,227.73990606156372,Train
52.42805218,227.73990606156372,Train
56.80146598,227.73990606156372,Train
74.27901711,227.73990606156372,Train
332.1102806,227.73990606156372,Train
383.1165707,227.73990606156372,Train
428.327685,227.73990606156372,Train
501.5668372,227.73990606156372,Train
18.77274936,142.44277857317033,Train
40.75098932,142.44277857317033,Train
79.21290924,142.44277857317033,Train
